Brand_Name_s__s,Product_Group_Code_Description_s,Basic_Model_Number_m,Individual_Model_Number_Covered_by_Basic_Model_m,Annual_Energy_Use__Kilowatt_Hours_Year__d,Water_Consumption__Gallons_Cycle__d,Capacity__Number_of_Place_Settings__d,Is_the_Certification_for_this_Basic_Model_Based_on_a_Waiver_of_DOE_s_Test_Procedure_Requirements__s,Is_the_Certification_based_upon_any_Exception_Relief_from_an_Applicable_Standard_by_DOE_s_Office_of_Hearing_and_Appeals__s,Link_to_FTC_EnergyGuide_Label_s
Whirlpool,Standard size dishwasher,WDF520PAD**-14,WDF320PAD**,260.0,3.3,12.0,No,No,https://www.whirlpool.com/kitchen/dishwasher-and-cleaning.html
Whirlpool,Standard size dishwasher,WDF520PAD**-14,WDF520PAD**,260.0,3.3,12.0,No,No,https://www.whirlpool.com/kitchen/dishwasher-and-cleaning.html
Whirlpool,Standard size dishwasher,WDF520PAD**-14,WDF540PAD**,260.0,3.3,12.0,No,No,https://www.whirlpool.com/kitchen/dishwasher-and-cleaning.html
Whirlpool,Standard size dishwasher,WDF520PAD**-14,WDT720PAD**,260.0,3.3,12.0,No,No,https://www.whirlpool.com/kitchen/dishwasher-and-cleaning.html
Whirlpool,Standard size dishwasher,WDF520PAD**-15,WDF320PAD**,260.0,3.3,12.0,No,No,https://www.whirlpool.com/kitchen/dishwasher-and-cleaning.html
Whirlpool,Standard size dishwasher,WDF520PAD**-15,WDF520PAD**,260.0,3.3,12.0,No,No,https://www.whirlpool.com/kitchen/dishwasher-and-cleaning.html
Whirlpool,Standard size dishwasher,WDF520PAD**-15,WDF540PAD**,260.0,3.3,12.0,No,No,https://www.whirlpool.com/kitchen/dishwasher-and-cleaning.html
Whirlpool,Standard size dishwasher,WDF520PAD**-16,WDF540PAD**,260.0,3.3,12.0,No,No,https://www.whirlpool.com/kitchen/dishwasher-and-cleaning.html
Whirlpool,Standard size dishwasher,WDF520PAD**-16,WDT720PAD**,260.0,3.3,12.0,No,No,https://www.whirlpool.com/kitchen/dishwasher-and-cleaning.html
Whirlpool,Standard size dishwasher,WDF545PAF**,WDF545PAF**,270.0,3.5,12.0,No,No,https://www.whirlpool.com/services/manuals.html
Whirlpool,Standard size dishwasher,WDF560SAF**-03,WDF560SAF**,270.0,3.5,12.0,No,No,https://www.whirlpool.com/services/manuals.html
Whirlpool,Standard size dishwasher,WDF560SAF**-04,WDF590SAJ**,270.0,3.5,12.0,No,No,https://www.whirlpool.com/services/manuals.html
Whirlpool,Standard size dishwasher,WDF560SAF**-05,WDF560SAF**,270.0,3.5,12.0,No,No,https://www.whirlpool.com/services/manuals.html
Whirlpool,Standard size dishwasher,WDF560SAF**-07,WDF770SAF**,270.0,3.5,12.0,No,No,https://www.whirlpool.com/kitchen/dishwasher-and-cleaning.html
Whirlpool,Standard size dishwasher,WDF560SAF**-07,WDF590SAJ**,270.0,3.5,12.0,No,No,https://www.whirlpool.com/kitchen/dishwasher-and-cleaning.html
Whirlpool,Standard size dishwasher,WDP340PAF**,WDP340PAF**,307.0,5.0,12.0,No,No,https://www.whirlpool.com/services/manuals.html
Whirlpool,Standard size dishwasher,WDP340PAF**,WDP370PAH**,307.0,5.0,12.0,No,No,https://www.whirlpool.com/services/manuals.html
Whirlpool,Standard size dishwasher,WDP340PAF**-01,WDP340PAF**,307.0,5.0,12.0,No,No,https://www.whirlpool.com/services/manuals.html
Whirlpool,Standard size dishwasher,WDP340PAF**-02,WDP370PAH**,307.0,5.0,12.0,No,No,https://www.whirlpool.com/kitchen/dishwasher-and-cleaning.html
Whirlpool,Standard size dishwasher,WDP340PAF**-03,WDP340PAF**,307.0,5.0,12.0,No,No,https://www.whirlpool.com/kitchen/dishwasher-and-cleaning.html
Whirlpool,Standard size dishwasher,WDP730HAM**,WDP730HAM**,270.0,3.5,12.0,No,No,https://www.whirlpool.com/services/manuals.html
Whirlpool,Standard size dishwasher,WDP730HAM**,WDT730HAM**,270.0,3.5,12.0,No,No,https://www.whirlpool.com/services/manuals.html
Whirlpool,Standard size dishwasher,WDT531HAP**,WDT531HAP**,240.0,3.2,12.0,No,No,https://www.whirlpool.com/services/manuals.html
Whirlpool,Standard size dishwasher,WDT540HAM**,WDP540HAM**,270.0,3.5,12.0,No,No,https://www.whirlpool.com/services/manuals.html
Whirlpool,Standard size dishwasher,WDT710PAH**-02,WDT710PAH**,270.0,3.5,12.0,No,No,https://www.whirlpool.com/services/manuals.html
Whirlpool,Standard size dishwasher,WDT710PAH**-03,WDT710PAH**,270.0,3.5,12.0,No,No,https://www.whirlpool.com/services/manuals.html
Whirlpool,Standard size dishwasher,WDT710PAH**-04,WDT710PAH**,270.0,3.5,12.0,No,No,https://www.whirlpool.com/services/manuals.html
Whirlpool,Standard size dishwasher,WDT710PAH**-05,WDT710PAH**,270.0,3.5,12.0,No,No,https://www.whirlpool.com/services/manuals.html
Whirlpool,Standard size dishwasher,WDT710PAH**-06,WDT710PAH**,270.0,3.5,12.0,No,No,https://www.whirlpool.com/kitchen/dishwasher-and-cleaning.html
Whirlpool,Standard size dishwasher,WDT710PAH**-07,WDT710PAH**,270.0,3.5,12.0,No,No,https://www.whirlpool.com/kitchen/dishwasher-and-cleaning.html
Whirlpool,Standard size dishwasher,WDT710PAY**,WDT710PAY**,258.0,3.5,12.0,No,No,https://www.whirlpool.com/services/manuals.html
Whirlpool,Standard size dishwasher,WDT730PAH**-02,WDT730PAH**,270.0,3.5,12.0,No,No,https://www.whirlpool.com/services/manuals.html
Whirlpool,Standard size dishwasher,WDT730PAH**-03,WDT730PAH**,270.0,3.5,12.0,No,No,https://www.whirlpool.com/services/manuals.html
Whirlpool,Standard size dishwasher,WDT730PAH**-04,WDT730PAH**,270.0,3.5,12.0,No,No,https://www.whirlpool.com/services/manuals.html
Whirlpool,Standard size dishwasher,WDT730PAH**-05,WDT730PAH**,270.0,3.5,12.0,No,No,https://www.whirlpool.com/services/manuals.html
Whirlpool,Standard size dishwasher,WDT730PAH**-06,WDT730PAH**,270.0,3.5,12.0,No,No,https://www.whirlpool.com/services/manuals.html
Whirlpool,Standard size dishwasher,WDT730PAH**-07,WDT730PAH**,270.0,3.5,12.0,No,No,https://www.whirlpool.com/kitchen/dishwasher-and-cleaning.html
Whirlpool,Standard size dishwasher,WDT730PAH**-11,WDT730PAH**,270.0,3.5,12.0,No,No,https://www.whirlpool.com/kitchen/dishwasher-and-cleaning.html
Whirlpool,Standard size dishwasher,WDT970SAH**-02,WDT750SAH**,270.0,3.5,12.0,No,No,https://www.whirlpool.com/services/manuals.html
KitchenAid,Standard size dishwasher,KDTM804K***-03,KDPM604K***,270.0,3.5,12.0,No,No,https://www.kitchenaid.com/major-appliances/dishwashers.html
KitchenAid,Standard size dishwasher,KDTM804K***-03,KDPM704K***,270.0,3.5,12.0,No,No,https://www.kitchenaid.com/major-appliances/dishwashers.html
Amana,Standard size dishwasher,ADB1300AF**-05,ADB1300AF**,270.0,3.5,12.0,No,No,https://www.amana.com/kitchen/dishwashers.html
Amana,Standard size dishwasher,ADB1300AF**-05,ADB1400AG**,270.0,3.5,12.0,No,No,https://www.amana.com/kitchen/dishwashers.html
Whirlpool,Standard size dishwasher,WDT970SAH**-03,WDT970SAH**,270.0,3.5,12.0,No,No,https://www.whirlpool.com/services/manuals.html
Whirlpool,Standard size dishwasher,WDT970SAH**-04,WDT750SAH**,270.0,3.5,12.0,No,No,https://www.whirlpool.com/services/manuals.html
Whirlpool,Standard size dishwasher,WDT970SAH**-04,WDT970SAH**,270.0,3.5,12.0,No,No,https://www.whirlpool.com/services/manuals.html
KitchenAid,Standard size dishwasher,KDTM804K***-04,KDPM604K***,270.0,3.5,12.0,No,No,https://www.kitchenaid.com/major-appliances/dishwashers.html
Whirlpool,Standard size dishwasher,WDT970SAH**-05,WDT750SAH**,270.0,3.5,12.0,No,No,https://www.whirlpool.com/services/manuals.html
KitchenAid,Standard size dishwasher,KDTM804K***-04,KDPM704K***,270.0,3.5,12.0,No,No,https://www.kitchenaid.com/major-appliances/dishwashers.html
KitchenAid,Standard size dishwasher,KDTM804K***-04,KDPM804K***,270.0,3.5,12.0,No,No,https://www.kitchenaid.com/major-appliances/dishwashers.html
Whirlpool,Standard size dishwasher,WDT970SAH**-05,WDTA50SAH**,270.0,3.5,12.0,No,No,https://www.whirlpool.com/services/manuals.html
Whirlpool,Standard size dishwasher,WDT970SAH**-06,WDTA50SAH**,270.0,3.5,12.0,No,No,https://www.whirlpool.com/services/manuals.html
KitchenAid,Standard size dishwasher,KUDL15FX***,KDFE454C***,260.0,2.9,12.0,No,No,https://www.kitchenaid.com/service-and-support/manuals.html
Amana,Standard size dishwasher,ADB1300AF**-08,ADB1300AF**,270.0,3.5,12.0,No,No,https://www.amana.com/kitchen/dishwashers.html
Amana,Standard size dishwasher,ADB1300AF**-08,ADB1400AG**,270.0,3.5,12.0,No,No,https://www.amana.com/kitchen/dishwashers.html
Maytag,Standard size dishwasher,MDB7959SK**,MDB7959SK**,270.0,3.5,12.0,No,No,https://www.maytag.com/owners.html
Whirlpool,Standard size dishwasher,WDT970SAH**-07,WDT750SAH**,270.0,3.5,12.0,No,No,https://www.whirlpool.com/kitchen/dishwasher-and-cleaning.html
Maytag,Standard size dishwasher,MDB7959SK**-01,MDB4949SK**,270.0,3.5,12.0,No,No,https://www.maytag.com/owners.html
Kenmore,Standard size dishwasher,1715*K***-02,1715*K***,295.0,3.4,12.0,No,No,https://www.kenmore.com/energyguide/
Kenmore,Standard size dishwasher,1715*K***-02,1748*N***,295.0,3.4,12.0,No,No,https://www.kenmore.com/energyguide/
Whirlpool,Standard size dishwasher,WDT970SAH**-08,WDTA50SAH**,270.0,3.5,12.0,No,No,https://www.whirlpool.com/kitchen/dishwasher-and-cleaning.html
Whirlpool,Standard size dishwasher,WDT970SAH**-08,WDT750SAH**,270.0,3.5,12.0,No,No,https://www.whirlpool.com/kitchen/dishwasher-and-cleaning.html
Whirlpool,Standard size dishwasher,WDTA50SAK**,WDT750SAK**,270.0,3.5,12.0,No,No,https://www.whirlpool.com/services/manuals.html
Kenmore,Standard size dishwasher,1715*K***-03,1748*N***,295.0,3.4,12.0,No,No,https://www.kenmore.com/energyguide/
Amana,Standard size dishwasher,ADB1300AF**-11,ADB1300AF**,270.0,3.5,12.0,No,No,https://www.amana.com/kitchen/dishwashers.html
KitchenAid,Standard size dishwasher,JDB9000CW**-06,KDTE104E***,270.0,3.3,12.0,No,No,https://www.kitchenaid.com/service-and-support/manuals.html
Amana,Standard size dishwasher,ADB1300AF**-11,ADB1400AG**,270.0,3.5,12.0,No,No,https://www.amana.com/kitchen/dishwashers.html
KitchenAid,Standard size dishwasher,JDB9000CW**-06,KDFE204E***,270.0,3.3,12.0,No,No,https://www.kitchenaid.com/service-and-support/manuals.html
Whirlpool,Standard size dishwasher,WDTA50SAK**-01,WDT750SAK**,270.0,3.5,12.0,No,No,https://www.whirlpool.com/kitchen/dishwasher-and-cleaning.html
Amana,Standard size dishwasher,ADB1300AF**-13,ADB1300AF**,270.0,3.5,12.0,No,No,https://www.amana.com/kitchen/dishwashers.html
Whirlpool,Standard size dishwasher,WDTA50SAK**-01,WDT740SAL**,270.0,3.5,12.0,No,No,https://www.whirlpool.com/kitchen/dishwasher-and-cleaning.html
KitchenAid,Standard size dishwasher,JDB9000CW**-06,KDTE254E***,270.0,3.3,12.0,No,No,https://www.kitchenaid.com/service-and-support/manuals.html
KitchenAid,Standard size dishwasher,JDB9000CW**-07,KDTE104E***,270.0,3.3,12.0,No,No,https://www.kitchenaid.com/service-and-support/manuals.html
Whirlpool,Standard size dishwasher,WDTA50SAK**-02,WDTA50SAK**,270.0,3.5,12.0,No,No,https://www.whirlpool.com/kitchen/dishwasher-and-cleaning.html
KitchenAid,Standard size dishwasher,JDB9000CW**-07,KDTE204E***,270.0,3.3,12.0,No,No,https://www.kitchenaid.com/service-and-support/manuals.html
Whirlpool,Standard size dishwasher,WDTA50SAK**-02,WDT740SAL**,270.0,3.5,12.0,No,No,https://www.whirlpool.com/kitchen/dishwasher-and-cleaning.html
KitchenAid,Standard size dishwasher,JDB9000CW**-07,KDTE254E***,270.0,3.3,12.0,No,No,https://www.kitchenaid.com/service-and-support/manuals.html
Whirlpool,Standard size dishwasher,WDTA50SAK**-03,WDTA50SAK**,270.0,3.5,12.0,No,No,https://www.whirlpool.com/kitchen/dishwasher-and-cleaning.html
KitchenAid,Standard size dishwasher,JDB9000CW**-08,KDTE104E***,270.0,3.3,12.0,No,No,https://www.kitchenaid.com/major-appliances/dishwashers.html
KitchenAid,Standard size dishwasher,JDB9000CW**-08,KDFE204E***,270.0,3.3,12.0,No,No,https://www.kitchenaid.com/major-appliances/dishwashers.html
KitchenAid,Standard size dishwasher,JDB9000CW**-08,KDTE204E***,270.0,3.3,12.0,No,No,https://www.kitchenaid.com/major-appliances/dishwashers.html
Whirlpool,Standard size dishwasher,WDTA50SAK**-03,WDT740SAL**,270.0,3.5,12.0,No,No,https://www.whirlpool.com/kitchen/dishwasher-and-cleaning.html
KitchenAid,Standard size dishwasher,KDFE104D***-07,KDFE104D***,260.0,2.9,12.0,No,No,https://www.kitchenaid.com/service-and-support/manuals.html
Whirlpool,Standard size dishwasher,WDTA50SAK**-04,WDT750SAK**,270.0,3.5,12.0,No,No,https://www.whirlpool.com/kitchen/dishwasher-and-cleaning.html
KitchenAid,Standard size dishwasher,KDFE104D***-08,KDFE104D***,260.0,2.9,12.0,No,No,https://www.kitchenaid.com/service-and-support/manuals.html
KitchenAid,Standard size dishwasher,KDFE104H***-03,KDFE104H***,270.0,3.5,12.0,No,No,https://www.kitchenaid.com/service-and-support/manuals.html
KitchenAid,Standard size dishwasher,KDFE104H***-04,KDFE104H***,270.0,3.5,12.0,No,No,https://www.kitchenaid.com/major-appliances/dishwashers.html
KitchenAid,Standard size dishwasher,KDFE104H***-05,KDFE104H***,270.0,3.5,12.0,No,No,https://www.kitchenaid.com/major-appliances/dishwashers.html
KitchenAid,Standard size dishwasher,KDFE104K***,KDTE104K***,270.0,3.5,12.0,No,No,https://www.kitchenaid.com/major-appliances/dishwashers.html
Whirlpool,Standard size dishwasher,WDTA75SAH**,WDTA75SAH**,270.0,3.5,12.0,No,No,https://www.whirlpool.com/services/manuals.html
KitchenAid,Standard size dishwasher,KDFE104K***-01,KDTE104K***,270.0,3.5,12.0,No,No,https://www.kitchenaid.com/major-appliances/dishwashers.html
KitchenAid,Standard size dishwasher,KDFE104K***-02,KDTE104K***,270.0,3.5,12.0,No,No,https://www.kitchenaid.com/major-appliances/dishwashers.html
Amana,Standard size dishwasher,ADB1500AD**-01,ADB1500AD**,270.0,3.0,12.0,No,No,https://www.amana.com/kitchen/dishwashers.html
KitchenAid,Standard size dishwasher,KDFE204K***-02,KDFE204K***,270.0,3.5,12.0,No,No,https://www.kitchenaid.com/major-appliances/dishwashers.html
KitchenAid,Standard size dishwasher,KDFE204K***-03,KDFE204K***,270.0,3.5,12.0,No,No,https://www.kitchenaid.com/major-appliances/dishwashers.html
Maytag,Standard size dishwasher,MDB7959SK**-04,MDB7959SK**,270.0,3.5,12.0,No,No,https://www.maytag.com/owners.html
KitchenAid,Standard size dishwasher,KDFE204K***-03,KDTE204K***,270.0,3.5,12.0,No,No,https://www.kitchenaid.com/major-appliances/dishwashers.html
KitchenAid,Standard size dishwasher,KDFE204K***-04,KDTE204K***,270.0,3.5,12.0,No,No,https://www.kitchenaid.com/major-appliances/dishwashers.html
KitchenAid,Standard size dishwasher,KDFE204K***-05,KDFE204K***,270.0,3.5,12.0,No,No,https://www.kitchenaid.com/major-appliances/dishwashers.html
KitchenAid,Standard size dishwasher,KDFE204K***-05,KDTE204K***,270.0,3.5,12.0,No,No,https://www.kitchenaid.com/major-appliances/dishwashers.html
KitchenAid,Standard size dishwasher,KDPM354G***,KDPM354G***,270.0,3.5,12.0,No,No,https://www.kitchenaid.com/service-and-support/manuals.html
Maytag,Standard size dishwasher,MDB8969SD**-06,MDB4949SD**,270.0,3.3,12.0,No,No,https://www.maytag.com/owners.html
KitchenAid,Standard size dishwasher,KDTE304G***-02,KDPE204G***,270.0,3.5,12.0,No,No,https://www.kitchenaid.com/service-and-support/manuals.html
Maytag,Standard size dishwasher,MDB8969SD**-06,MDB5969SD**,270.0,3.3,12.0,No,No,https://www.maytag.com/owners.html
Maytag,Standard size dishwasher,MDB8969SD**-07,MDB5969SD**,270.0,3.3,12.0,No,No,https://www.maytag.com/owners.html
Maytag,Standard size dishwasher,MDB8969SD**-07,MDB7949SD**,270.0,3.3,12.0,No,No,https://www.maytag.com/owners.html
Maytag,Standard size dishwasher,MDB8979SE**-04,MDB8959SF**,270.0,3.5,12.0,No,No,https://www.maytag.com/owners.html
Maytag,Standard size dishwasher,MDB8979SE**-04,MDB8979SE**,270.0,3.5,12.0,No,No,https://www.maytag.com/owners.html
Maytag,Standard size dishwasher,MDB8989SH**,MDB7979SH**,270.0,3.5,12.0,No,No,https://www.maytag.com/owners.html
Amana,Standard size dishwasher,ADB1500AD**-03,ADB1500AD**,270.0,3.0,12.0,No,No,https://www.amana.com/kitchen/dishwashers.html
KitchenAid,Standard size dishwasher,KDTE304G***-02,KDPE234G***,270.0,3.5,12.0,No,No,https://www.kitchenaid.com/service-and-support/manuals.html
Maytag,Standard size dishwasher,MDB8989SH**,MDB8989SH**,270.0,3.5,12.0,No,No,https://www.maytag.com/owners.html
KitchenAid,Standard size dishwasher,KDTE304G***-02,KDTE204G***,270.0,3.5,12.0,No,No,https://www.kitchenaid.com/service-and-support/manuals.html
KitchenAid,Standard size dishwasher,KDTE304G***-03,KDTE204G***,270.0,3.5,12.0,No,No,https://www.kitchenaid.com/service-and-support/manuals.html
Amana,Standard size dishwasher,ADB1700AD**-02,ADB1700AD**,270.0,3.0,12.0,No,No,https://www.amana.com/kitchen/dishwashers.html
Amana,Standard size dishwasher,ADB1700AD**-03,ADB1700AD**,270.0,3.0,12.0,No,No,https://www.amana.com/kitchen/dishwashers.html
Amana,Standard size dishwasher,WDP560HAM**,ADB1500AM**,270.0,3.5,12.0,No,No,https://www.amana.com/kitchen/dishwashers.html
Ikea,Standard size dishwasher,IDT930SAG**,IDT930SAG**,270.0,3.5,12.0,No,No,https://www.ikea.com/us/en/cat/dishwashers-20825/
Ikea,Standard size dishwasher,IDT930SAG**-01,IDT870SAG**,270.0,3.5,12.0,No,No,https://www.ikea.com/us/en/cat/dishwashers-20825/
Ikea,Standard size dishwasher,IDT930SAG**-01,IDT930SAG**,270.0,3.5,12.0,No,No,https://www.ikea.com/us/en/cat/dishwashers-20825/
Ikea,Standard size dishwasher,IUD7555D**-01,IUD7555D**,260.0,3.0,12.0,No,No,https://www.ikea.com/us/en/cat/dishwashers-20825/
Ikea,Standard size dishwasher,IUD7555D**-02,IDT830SAG**,260.0,3.0,12.0,No,No,https://www.ikea.com/us/en/cat/dishwashers-20825/
Ikea,Standard size dishwasher,WDF520PAD**-09,IUD7070D**,260.0,3.3,12.0,No,No,https://www.ikea.com/us/en/cat/dishwashers-20825/
Ikea,Standard size dishwasher,WDF520PAD**-10,IUD7070D**,260.0,3.3,12.0,No,No,https://www.ikea.com/us/en/cat/dishwashers-20825/
Ikea,Standard size dishwasher,WDF520PAD**-11,IUD7070D**,260.0,3.3,12.0,No,No,https://www.ikea.com/us/en/cat/dishwashers-20825/
Ikea,Standard size dishwasher,WDF520PAD**-12,IUD7070D**,260.0,3.3,12.0,No,No,https://www.ikea.com/us/en/cat/dishwashers-20825/
Jenn-Air,Standard size dishwasher,JDB9000CW**-06,JDB9000CW**,270.0,3.3,12.0,No,No,https://www.jennair.com/content/jennair/en_us/dishwashers-and-compactors.html
Jenn-Air,Standard size dishwasher,JDB9000CW**-06,JDB9200CW**,270.0,3.3,12.0,No,No,https://www.jennair.com/content/jennair/en_us/dishwashers-and-compactors.html
Jenn-Air,Standard size dishwasher,JDB9000CW**-07,JDB9200CW**,270.0,3.3,12.0,No,No,https://www.jennair.com/content/jennair/en_us/dishwashers-and-compactors.html
KitchenAid,Standard size dishwasher,KDTE304G***-04,KDTE204G***,270.0,3.5,12.0,No,No,https://www.kitchenaid.com/service-and-support/manuals.html
JennAir,Standard size dishwasher,JDB9000CW**-08,JDB9000CW**,270.0,3.3,12.0,No,No,https://www.jennair.com/content/jennair/en_us/dishwashers-and-compactors.html
JennAir,Standard size dishwasher,JDB9000CW**-08,JDB9200CW**,270.0,3.3,12.0,No,No,https://www.jennair.com/content/jennair/en_us/dishwashers-and-compactors.html
Jenn-Air,Standard size dishwasher,JDB9800CW**,JDB9800CW**,270.0,3.4,12.0,No,No,https://www.jennair.com/content/jennair/en_us/dishwashers-and-compactors.html
JennAir,Standard size dishwasher,JDPSG244P**,JDPSG244P**,240.0,3.2,12.0,No,No,https://www.jennair.com/content/jennair/en_us/dishwashers-and-compactors.html
JennAir,Standard size dishwasher,JDPSG244P**,JDPSS244P**,240.0,3.2,12.0,No,No,https://www.jennair.com/content/jennair/en_us/dishwashers-and-compactors.html
KitchenAid,Standard size dishwasher,KDTE304G***-04,KDTE234G***,270.0,3.5,12.0,No,No,https://www.kitchenaid.com/service-and-support/manuals.html
KitchenAid,Standard size dishwasher,KDTE304G***-04,KDTE304G***,270.0,3.5,12.0,No,No,https://www.kitchenaid.com/service-and-support/manuals.html
JennAir,Standard size dishwasher,JDPSS244L**,JDPSS244L**,270.0,3.5,12.0,No,No,https://www.jennair.com/content/jennair/en_us/dishwashers-and-compactors.html
KitchenAid,Standard size dishwasher,KDTE304G***-05,KDTE204G***,270.0,3.5,12.0,No,No,https://www.kitchenaid.com/service-and-support/manuals.html
JennAir,Standard size dishwasher,JDPSS246L**,JDPSS246L**,270.0,3.5,12.0,No,No,https://www.jennair.com/content/jennair/en_us/dishwashers-and-compactors.html
KitchenAid,Standard size dishwasher,KDTE304G***-06,KDTE234G***,270.0,3.5,12.0,No,No,https://www.kitchenaid.com/service-and-support/manuals.html
KitchenAid,Standard size dishwasher,KDTE304G***-06,KDPE234G***,270.0,3.5,12.0,No,No,https://www.kitchenaid.com/service-and-support/manuals.html
Maytag,Standard size dishwasher,MDB8989SH**-01,MDB8989SH**,270.0,3.5,12.0,No,No,https://www.maytag.com/owners.html
Maytag,Standard size dishwasher,MDB8989SH**-02,MDB4949SH**,270.0,3.5,12.0,No,No,https://www.maytag.com/owners.html
Jenn-Air,Standard size dishwasher,JDTSS246G**,JDTSS243G**,270.0,3.5,12.0,No,No,https://www.jennair.com/content/jennair/en_us/dishwashers-and-compactors.html
Jenn-Air,Standard size dishwasher,JDTSS246G**,JDTSS244G**,270.0,3.5,12.0,No,No,https://www.jennair.com/content/jennair/en_us/dishwashers-and-compactors.html
Jenn-Air,Standard size dishwasher,JDTSS246G**-02,JDTSS244G**,270.0,3.5,12.0,No,No,https://www.jennair.com/content/jennair/en_us/dishwashers-and-compactors.html
Jenn-Air,Standard size dishwasher,JDTSS246G**-02,JDTSS245G**,270.0,3.5,12.0,No,No,https://www.whirlpool.com/services/manuals.html
KitchenAid,Standard size dishwasher,KDTE304G***-07,KDPE204G***,270.0,3.5,12.0,No,No,https://www.kitchenaid.com/major-appliances/dishwashers.html
Kenmore,Standard size dishwasher,1276*K***-01,1279*K***,260.0,2.9,12.0,No,No,https://www.kenmore.com/energyguide/
Kenmore,Standard size dishwasher,1300*N***-05,1300*N***,270.0,3.5,12.0,No,No,https://www.kenmore.com/energyguide/
Amana,Standard size dishwasher,ADB1500AD**-05,ADB1500AD**,270.0,3.0,12.0,No,No,https://www.amana.com/kitchen/dishwashers.html
Kenmore,Standard size dishwasher,1300*N***-05,1380*N***,270.0,3.5,12.0,No,No,https://www.kenmore.com/energyguide/
Kenmore,Standard size dishwasher,1300*N***-06,1300*N***,270.0,3.5,12.0,No,No,https://www.kenmore.com/energyguide/
Kenmore,Standard size dishwasher,1300*N***-07,1442*N***,270.0,3.5,12.0,No,No,https://www.kenmore.com/energyguide/
Kenmore,Standard size dishwasher,1300*N***-07,1738*N***,270.0,3.5,12.0,No,No,https://www.kenmore.com/energyguide/
Kenmore,Standard size dishwasher,1309*N***-05,1309*N***,260.0,2.7,12.0,No,No,https://www.kenmore.com/energyguide/
Kenmore,Standard size dishwasher,1309*N***-05,1320*N***,260.0,2.7,12.0,No,No,https://www.kenmore.com/energyguide/
Kenmore,Standard size dishwasher,1309*N***-05,1347*N***,260.0,2.7,12.0,No,No,https://www.kenmore.com/energyguide/
LG,Standard size dishwasher,LDFN454**,LDF554#**,238.0,2.9,15.0,No,No,https://www.lg.com/us/dishwashers
LG,Standard size dishwasher,LDFN454**,LDFN454**,238.0,2.9,15.0,No,No,https://www.lg.com/us/dishwashers
LG,Standard size dishwasher,LDFN343**,LDFN343**,238.0,2.9,15.0,No,No,https://www.lg.com/us/dishwashers
SIGNATURE KITCHEN SUITE,Standard size dishwasher,SKSDW24**P,SKSDW24**P,238.0,2.9,14.0,No,No,https://www.lg.com/us/dishwashers
LG,Standard size dishwasher,ADFD544***,ADFD544***,238.0,2.9,14.0,No,No,https://www.lg.com/us/dishwashers
LG,Standard size dishwasher,LDTH779**,LDPH797**,238.0,2.9,15.0,No,No,https://www.lg.com/us/dishwashers
LG,Standard size dishwasher,LDPS676**,LDPS676**,238.0,2.9,15.0,No,No,https://www.lg.com/us/dishwashers
LG,Standard size dishwasher,LDPM676**,LDPM676**,238.0,2.9,15.0,No,No,https://www.lg.com/us/dishwashers
SIGNATURE KITCHEN SUITE,Standard size dishwasher,SKSDW241**,SKSDW241**,238.0,2.9,15.0,No,No,https://www.lg.com/us/dishwashers
LG,Standard size dishwasher,LUDP899#**,LSDTS988**,269.0,2.9,15.0,No,No,https://www.lg.com/us/dishwashers
LG,Standard size dishwasher,LDF777#**,LDF777#**,258.0,2.8,14.0,No,No,https://www.lg.com/us/dishwashers
LG,Standard size dishwasher,LDF777#**,LDF876#**,258.0,2.8,14.0,No,No,https://www.lg.com/us/dishwashers
LG,Standard size dishwasher,LDF777#**,LDF887#**,258.0,2.8,14.0,No,No,https://www.lg.com/us/dishwashers
SIGNATURE KITCHEN SUITE,Standard size dishwasher,LUDP899#**,UPDF991#**,269.0,2.9,15.0,No,No,https://www.lg.com/us/dishwashers
LG,Standard size dishwasher,LDP679#**,LDT779#**,258.0,2.9,15.0,No,No,https://www.lg.com/us/dishwashers
LG,Standard size dishwasher,LDP680***,LDP680***,258.0,2.9,15.0,No,No,https://www.lg.com/us/dishwashers
LG,Standard size dishwasher,LDPS684***,LDPS684***,258.0,2.9,15.0,No,No,https://www.lg.com/us/dishwashers
EdgeStar,Compact dishwasher,DWP62**,DWP62**,203.0,3.1,6.0,No,No,https://res.cloudinary.com/ldi/image/upload/v1670421374/EdgeStar/DWP62XX_Energy_Guide.pdf
Seasons,Standard size dishwasher,PDT660#,SDW2FCM*,249.0,3.5,14.0,No,No,https://hdsupplysolutions.com/
Galanz,Standard size dishwasher,GLDW12TS2A5A,GLDW12TS2A5A,255.0,3.2,9.0,No,No,By annual report date
Frigidaire,Standard size dishwasher,FGIP2479SF1A,FDSH450L****,240.0,3.2,14.0,No,No,https://na2.electroluxmedia.com/Original/Electrolux/Electrolux%20Assets/Document/Energy%20Guide/FDSH450LA_EG.pdf
Frigidaire,Standard size dishwasher,FGIP2479SF1A,FGIP2479****,240.0,3.2,14.0,No,No,https://na2.electroluxmedia.com/Original/Electrolux/Electrolux%20Assets/Document/Energy%20Guide/FGIP2479S_EG.pdf
Frigidaire,Standard size dishwasher,FGIP2479SF1A,FPID2498****,240.0,3.2,14.0,No,No,https://na2.electroluxmedia.com/Original/Electrolux/Electrolux%20Assets/Document/Energy%20Guide/FPID2498S_EG.pdf
